date	open	high	low	close	adjClose	volume	unadjustedVolume	change	changePercent	vwap	label	changeOverTime
2022-03-24	261.66	283.2	259.07	281.5	281.15	87737914	87737914	19.84	7.58	271.3575	March 24, 22	0.0758
2022-03-25	278.86	283.58	272.71	276.92	276.57	57901618	57901618	-1.94	-0.69569	278.0175	March 25, 22	-0.0069569
2022-03-28	277.56	282.5	272.06	282.19	281.84	42549392	42549392	4.63	1.67	278.5775	March 28, 22	0.0167
2022-03-29	286.95	289.46	279.8	286.56	286.2	48898440	48898440	-0.385	-0.13591	285.6925	March 29, 22	-0.0013591
2022-03-30	283.04	284.96	275.03	276.9	276.55	46348713	46348713	-6.14	-2.17	279.9825	March 30, 22	-0.0217
2022-03-31	277.82	282.48	272.7	272.86	272.52	52344022	52344022	-4.96	-1.79	276.465	March 31, 22	-0.0179
2022-04-01	273.75	274.96	262.67	267.12	266.79	51723511	51723511	-6.63	-2.42	269.625	April 01, 22	-0.0242
2022-04-04	267.28	275.58	266.13	273.6	273.26	39770782	39770782	6.32	2.36	270.6475	April 04, 22	0.0236
2022-04-05	272.54	273.19	258.2	259.31	258.98	43661473	43661473	-13.23	-4.85	265.81	April 05, 22	-0.0485
2022-04-06	249.34	253.0	240.03	244.07	243.76	70383256	70383256	-5.27	-2.11	246.61	April 06, 22	-0.0211
2022-04-07	244.41	247.22	234.78	242.08	241.78	55799236	55799236	-2.33	-0.95332	242.1225	April 07, 22	-0.0095332
2022-04-08	239.17	239.23	230.62	231.19	230.9	52478064	52478064	-7.98	-3.34	235.0525	April 08, 22	-0.0334
2022-04-11	222.14	223.2	216.6	219.17	218.9	57520684	57520684	-2.97	-1.34	220.2775	April 11, 22	-0.0134
2022-04-12	225.37	227.25	212.82	215.04	214.77	66225807	66225807	-10.33	-4.58	220.12	April 12, 22	-0.0458
2022-04-13	217.28	225.0	214.55	222.03	221.75	51694344	51694344	4.75	2.19	219.715	April 13, 22	0.0219
2022-04-14	225.05	227.77	211.63	212.58	212.31	56909685	56909685	-12.47	-5.54	219.2575	April 14, 22	-0.0554
2022-04-18	212.0	220.88	210.79	217.83	217.56	52570061	52570061	5.83	2.75	215.375	April 18, 22	0.0275
2022-04-19	217.2	223.73	213.14	221.98	221.7	51278058	51278058	4.78	2.2	219.0125	April 19, 22	0.022
2022-04-20	225.17	226.7	212.0	214.82	214.55	46897444	46897444	-10.35	-4.6	219.6725	April 20, 22	-0.046
2022-04-21	217.09	223.92	200.0	201.83	201.58	65620944	65620944	-15.26	-7.03	210.71	April 21, 22	-0.0703
